Fri Aug 11 21:10:55 2023    ies_detector_profile.stats

         1961858 function calls (1936817 primitive calls) in 7.099 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1521    0.001    0.000    0.002    0.000 <__array_function__ internals>:177(ndim)
      380    0.001    0.000    0.002    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/linalg/linalg.py:136(_commonType)
     5291    0.002    0.000    0.002    0.000 {built-in method builtins.min}
      380    0.002    0.000    0.002    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/lib/twodim_base.py:162(eye)
      570    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(ravel)
      380    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(reshape)
      570    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(real)
     2660    0.002    0.000    0.002    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:70(<dictcomp>)
      382    0.000    0.000    0.002    0.000 {method 'any' of 'numpy.ndarray' objects}
       88    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(tile)
     3634    0.001    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.count_nonzero}
     1520    0.001    0.000    0.001    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/lib/type_check.py:72(<genexpr>)
     6573    0.001    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
       88    0.001    0.000    0.001    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/lib/shape_base.py:1191(tile)
       88    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(expand_dims)
      380    0.000    0.000    0.001    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:198(reshape)
      570    0.001    0.000    0.001    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:1781(ravel)
     1087    0.001    0.000    0.001    0.000 {method 'argmax' of 'numpy.ndarray' objects}
     1992    0.001    0.000    0.001    0.000 {built-in method numpy.empty}
     4052    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      760    0.000    0.000    0.001    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/scipy/signal/_arraytools.py:47(axis_reverse)
       88    0.001    0.000    0.001    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/lib/shape_base.py:512(expand_dims)
     1608    0.001    0.000    0.001    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/numeric.py:1398(<listcomp>)
     1140    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
     8028    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        1    0.001    0.001    0.001    0.001 /mnt/leif/littlab/users/devinma/Code/spikes/IES_detector.py:227(<setcomp>)
      816    0.001    0.000    0.001    0.000 {method 'sort' of 'numpy.ndarray' objects}
      380    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(size)
     2282    0.001    0.000    0.001    0.000 {method 'transpose' of 'numpy.ndarray' objects}
